S.No,Product Code,Brand Name,Product Name,Price,Original Price (Was Price),Discount Percentage,Offer Price,URL,Category
176,463553005_grey,Bruun & Stengade,Striped Western Scarf,"₹4,999","₹4,999",(0% off),"₹4,999",https://www.ajio.com/bruun--stengade-striped-western-scarf/p/463553005_grey,Scarves and Stoles
177,464930026_white,TOSSIDO,Floral Print Scarf,"₹1,208","₹1,590",(24% off),"₹1,193",https://www.ajio.com/tossido-floral-print-scarf/p/464930026_white,Scarves and Stoles
178,464843814_multi,TOSSIDO,Floral Print Stole,₹683,₹899,(24% off),₹674,https://www.ajio.com/tossido-floral-print-stole/p/464843814_multi,Scarves and Stoles
179,464842788_blue,TOSSIDO,Floral Print Chiffon Stole,₹683,₹899,(24% off),₹674,https://www.ajio.com/tossido-floral-print-chiffon-stole/p/464842788_blue,Scarves and Stoles
180,464838708_multi,TOSSIDO,Geometric Print Cotton Stole,₹759,₹999,(24% off),₹749,https://www.ajio.com/tossido-geometric-print-cotton-stole/p/464838708_multi,Scarves and Stoles
181,464921480_orange,THE TIE HUB,Paisley Print Silk Scarf,"₹1,500","₹3,750",(60% off),"₹1,500",https://www.ajio.com/the-tie-hub-paisley-print-silk-scarf/p/464921480_orange,Scarves and Stoles
182,463596156_black,THE TIE HUB,Checked Scarf with Fringes,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-checked-scarf-with-fringes/p/463596156_black,Scarves and Stoles
183,466086588_grey,THE TIE HUB,Checked Print Men Scarf with Fringed Hem,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-checked-print-men-scarf-with-fringed-hem/p/466086588_grey,Scarves and Stoles
184,466086630_navy,THE TIE HUB,Striped Print Men Scarf with Fringed Hem,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-striped-print-men-scarf-with-fringed-hem/p/466086630_navy,Scarves and Stoles
185,466087749_brown,THE TIE HUB,Herringboneerringbone Print Men Scarf with Fringed Hem,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-herringboneerringbone-print-men-scarf-with-fringed-hem/p/466087749_brown,Scarves and Stoles
186,466086505_maroon,THE TIE HUB,Printed Men Scarf with Fringed Hem,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-printed-men-scarf-with-fringed-hem/p/466086505_maroon,Scarves and Stoles
187,466087783_multi,THE TIE HUB,Striped Print Men Scarf with Fringed Hem,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-striped-print-men-scarf-with-fringed-hem/p/466087783_multi,Scarves and Stoles
188,466087818_grey,THE TIE HUB,Geometric Pattern Men Scarf with Fringed Hem,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-geometric-pattern-men-scarf-with-fringed-hem/p/466087818_grey,Scarves and Stoles
189,466087843_black,THE TIE HUB,Checked Print Men Scarf with Fringed Hem,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-checked-print-men-scarf-with-fringed-hem/p/466087843_black,Scarves and Stoles
190,466087856_blue,THE TIE HUB,Checked Print Men Scarf with Fringed Hem,"₹2,000","₹5,000",(60% off),"₹2,000",https://www.ajio.com/the-tie-hub-checked-print-men-scarf-with-fringed-hem/p/466087856_blue,Scarves and Stoles
191,464272346_yellow,THE TIE HUB,Woolen Scarf,"₹3,500","₹8,750",(60% off),"₹3,500",https://www.ajio.com/the-tie-hub-woolen-scarf-/p/464272346_yellow,Scarves and Stoles
192,466488204_black,Heelium,Pack of 4 Brand Print Bamboo Bandanas,₹899,"₹1,999",(55% off),₹899,https://www.ajio.com/heelium-pack-of-4-brand-print-bamboo-bandanas/p/466488204_black,Scarves and Stoles
193,464888718_grey,Bruun & Stengade,Woolen Scarf with Tassels,"₹2,799","₹3,999",(30% off),"₹1,819",https://www.ajio.com/bruun--stengade-woolen-scarf-with-tassels/p/464888718_grey,Scarves and Stoles
194,463613139_black,Marks & Spencer,Checked Muffler with Fringed Border,₹809,"₹1,499",(46% off),₹660,https://www.ajio.com/marks--spencer-checked-muffler-with-fringed-border/p/463613139_black,Scarves and Stoles
195,469500092_red,U.S. Polo Assn.,Men Logo Embroidered Cap,₹559,₹999,(44% off),₹500,https://www.ajio.com/u-s-polo-assn-men-logo-embroidered-cap/p/469500092_red,Caps
196,469452962_gray,Puma,Men Graphic Print Baseball Cap,₹974,"₹1,299",(25% off),₹831,https://www.ajio.com/puma-men-graphic-print-baseball-cap/p/469452962_gray,Caps
197,469500093_white,U.S. Polo Assn.,Men Baseball Cap,₹999,₹999,(0% off),₹699,https://www.ajio.com/u-s-polo-assn-men-baseball-cap/p/469500093_white,Caps
198,469500091_navy,U.S. Polo Assn.,Men Brand Embroidered Baseball Cap,₹559,₹999,(44% off),₹500,https://www.ajio.com/u-s-polo-assn-men-brand-embroidered-baseball-cap/p/469500091_navy,Caps
199,469453001_white,Puma,Logo Print Baseball Caps,"₹1,479","₹1,999",(26% off),"₹1,279",https://www.ajio.com/puma-logo-print-baseball-caps/p/469453001_white,Caps
200,469453027_blue,Puma,Men Logo Embroidered Cap,₹974,"₹1,299",(25% off),₹831,https://www.ajio.com/puma-men-logo-embroidered-cap/p/469453027_blue,Caps
201,469453000_black,Puma,BMW Logosport Baseball Cap,"₹1,499","₹1,999",(25% off),"₹1,279",https://www.ajio.com/puma-bmw-logosport-baseball-cap/p/469453000_black,Caps
202,469453004_white,Puma,Logo Print Baseball Cap,"₹1,766","₹1,899",(7% off),"₹1,614",https://www.ajio.com/puma-logo-print-baseball-cap/p/469453004_white,Caps
203,469452983_black,Puma,Mesh Panelled Baseball Cap,"₹1,348","₹1,899",(29% off),"₹1,082",https://www.ajio.com/puma-mesh-panelled-baseball-cap/p/469452983_black,Caps
204,469452948_green,Puma,Men Logo Print Baseball Cap,₹974,"₹1,299",(25% off),₹831,https://www.ajio.com/puma-men-logo-print-baseball-cap/p/469452948_green,Caps
